"conflictid_new"|"conflict_type"|"year"|"conflict_country"|"ai_prev"|"hrw_prev"|"state_prev"|"actor_type"|"actor"|"theta"|"theta_sd"|"theta_upper"|"theta_low"
205|"intra"|1990|"Iran, Islamic Rep."|0|0|0|1|"Government"|-0.429941964511792|0.788914229616572|0.927315970896333|-2.14226788030227
205|"intra"|1993|"Iran, Islamic Rep."|0|0|0|1|"Government"|-0.40598910725435|0.766617507618968|0.926385635004217|-2.0545249009526
205|"intra"|1996|"Iran, Islamic Rep."|0|0|0|1|"Government"|-0.402023350784211|0.783413489866459|0.940145568202146|-2.06175827881467
205|"intra"|1990|"Iran, Islamic Rep."|0|0|0|3|"Rebels"|-0.425636889220302|0.760106066158702|0.899617671178521|-2.06660543772224
205|"intra"|1993|"Iran, Islamic Rep."|0|0|0|3|"Rebels"|-0.403107176181035|0.774510640856216|0.932083768266828|-2.04755491846668
205|"intra"|1996|"Iran, Islamic Rep."|0|0|0|3|"Rebels"|-0.410194817357931|0.77335191926604|0.930292413551982|-2.07832820554864
209|"intra"|1989|"Philippines"|1|0|0|1|"Government"|0.660312863538041|0.514868211403422|1.53311781851405|-0.437579464562233
209|"intra"|1990|"Philippines"|1|0|0|1|"Government"|0.654452138505799|0.517835031758131|1.56645135640199|-0.483232263940158
209|"intra"|1991|"Philippines"|0|0|0|1|"Government"|-0.430143223394225|0.802618512144538|0.932630688349428|-2.13353560699717
209|"intra"|1992|"Philippines"|0|0|0|1|"Government"|-0.407577629036088|0.787069065483737|0.953360303134042|-2.15877338891044
209|"intra"|1993|"Philippines"|0|0|0|1|"Government"|-0.420926392817965|0.759927771087917|0.906152301992392|-2.08122750393628
209|"intra"|1994|"Philippines"|0|NA|0|1|"Government"|-0.38441887463302|0.799184483811281|1.00972053371913|-2.06816602723192
209|"intra"|1995|"Philippines"|0|NA|0|1|"Government"|-0.37973033767534|0.785529328021394|0.98563885054623|-2.06582015621416
209|"intra"|1997|"Philippines"|0|NA|0|1|"Government"|-0.375489033943547|0.815871667528643|1.05753126075364|-2.12171423508491
209|"intra"|1999|"Philippines"|0|NA|0|1|"Government"|-0.377009303998112|0.832400561789052|1.09662524812498|-2.10379952628379
209|"intra"|2000|"Philippines"|0|NA|0|1|"Government"|-0.380901197503104|0.807030410494635|1.03368086276011|-2.13908977666193
209|"intra"|2001|"Philippines"|0|NA|0|1|"Government"|-0.380696919995889|0.812436132984753|1.02724230035009|-2.06438435129852
209|"intra"|2002|"Philippines"|0|NA|0|1|"Government"|-0.362644399279457|0.81987780484475|1.05961546501544|-2.14441271827811
209|"intra"|2003|"Philippines"|0|NA|0|1|"Government"|-0.376455999785176|0.785817569090204|1.01669308346554|-2.05964294904371
209|"intra"|2004|"Philippines"|0|NA|0|1|"Government"|-0.356768923594255|0.790277582249723|1.02865331233111|-2.06016093108264
209|"intra"|2005|"Philippines"|1|NA|0|1|"Government"|0.783345901668745|0.572224010724824|1.82295618497916|-0.444847155448848
209|"intra"|2006|"Philippines"|0|0|0|1|"Government"|-0.438800518914358|0.77995529174602|0.902136934006982|-2.1321692066096
209|"intra"|2007|"Philippines"|0|0|0|1|"Government"|-0.421724450402366|0.78695729291691|0.951774359454348|-2.07536651851423
209|"intra"|2008|"Philippines"|0|0|0|1|"Government"|-0.425937130853091|0.783469057001398|0.909282477707628|-2.12319419977796
209|"intra"|2009|"Philippines"|0|0|0|1|"Government"|-0.418036623879658|0.790415121190237|0.936682966184077|-2.1792956604526
209|"intra"|2010|"Philippines"|0|0|0|1|"Government"|-0.417493774339396|0.769625966121569|0.895987868907462|-2.09128722693811
209|"intra"|2011|"Philippines"|0|0|0|1|"Government"|-0.409387893264159|0.776564948732068|0.934547762927168|-2.01275208084853
209|"intra"|2012|"Philippines"|0|0|0|1|"Government"|-0.440724658999164|0.798827728232519|0.933551274573741|-2.18279140224821
209|"intra"|2013|"Philippines"|NA|0|0|1|"Government"|-0.361720131555888|0.823136626925773|1.07930954693145|-2.13619444045894
209|"intra"|2014|"Philippines"|0|0|0|1|"Government"|-0.40972295031081|0.768172985350786|0.913508770955874|-2.0540166036889
209|"intra"|2015|"Philippines"|0|0|0|1|"Government"|-0.422960480239335|0.794636248790925|0.925264007121351|-2.13778313970985
209|"intra"|1989|"Philippines"|0|0|0|3|"Rebels"|-0.419657626743665|0.789887199122443|0.945259949653008|-2.08312138039815
209|"intra"|1990|"Philippines"|0|0|0|3|"Rebels"|-0.436304269179239|0.780763238587326|0.895150648394674|-2.11893185589145
209|"intra"|1991|"Philippines"|0|0|0|3|"Rebels"|-0.435049173762194|0.785593550593853|0.897776643013323|-2.09886759366108
209|"intra"|1992|"Philippines"|0|0|0|3|"Rebels"|-0.412194204463635|0.764372032043051|0.913877138026132|-2.07401132949716
209|"intra"|1993|"Philippines"|0|0|0|3|"Rebels"|-0.417598167283758|0.781802200530902|0.927556610845369|-2.05917434361717
209|"intra"|1994|"Philippines"|0|NA|0|3|"Rebels"|-0.369449787800074|0.770362758894166|0.998278917527646|-1.94486222892549
209|"intra"|1995|"Philippines"|0|NA|0|3|"Rebels"|-0.381697466175762|0.822574076775671|1.05102226152458|-2.07078850716774
209|"intra"|1997|"Philippines"|0|NA|0|3|"Rebels"|-0.374381989202052|0.796289541493576|1.03290052246398|-2.10821091501568
209|"intra"|1999|"Philippines"|0|NA|0|3|"Rebels"|-0.385873071530626|0.811173525650331|1.03272962474121|-2.07105401288445
209|"intra"|2000|"Philippines"|0|NA|0|3|"Rebels"|-0.37400587063564|0.804984007472364|1.03585110386027|-2.08567288140873
209|"intra"|2001|"Philippines"|0|NA|0|3|"Rebels"|-0.355534081503202|0.794750719577341|1.00780356793338|-2.05724036238825
209|"intra"|2002|"Philippines"|0|NA|0|3|"Rebels"|-0.377965577213214|0.801248346946986|0.997742815488911|-2.07824468613546
209|"intra"|2003|"Philippines"|0|NA|0|3|"Rebels"|-0.371499905394712|0.81720033373324|1.05707122374518|-2.03509281131043
209|"intra"|2004|"Philippines"|0|NA|0|3|"Rebels"|-0.34997557062872|0.775058223837777|1.00328957695952|-2.02276045015752
209|"intra"|2005|"Philippines"|0|NA|0|3|"Rebels"|-0.355947478356816|0.796421283277039|1.08246435537882|-2.05888329447058
209|"intra"|2006|"Philippines"|0|0|0|3|"Rebels"|-0.408460659111477|0.761942651128934|0.891211763320654|-2.02066467214723
209|"intra"|2007|"Philippines"|0|0|0|3|"Rebels"|-0.440072945289677|0.829654688881691|1.01880803520691|-2.22197844728333
209|"intra"|2008|"Philippines"|0|0|0|3|"Rebels"|-0.401010906474476|0.763724979151158|0.917662059285271|-2.00053159939788
209|"intra"|2009|"Philippines"|0|0|0|3|"Rebels"|-0.424716912606471|0.784362669317037|0.955454470502039|-2.06606274387187
209|"intra"|2010|"Philippines"|0|0|0|3|"Rebels"|-0.420052847539332|0.793969663322375|0.944052936873439|-2.10404332544101
209|"intra"|2011|"Philippines"|0|0|0|3|"Rebels"|-0.435520202635226|0.796610226803888|0.93991506476523|-2.15113747749001
209|"intra"|2012|"Philippines"|0|0|0|3|"Rebels"|-0.41673456152422|0.786473308262441|0.91771752074841|-2.12577209867604
209|"intra"|2013|"Philippines"|NA|0|0|3|"Rebels"|-0.359878096231399|0.820595127956584|1.0773427917457|-2.09891661662287
209|"intra"|2014|"Philippines"|0|0|0|3|"Rebels"|-0.421661268818125|0.75898056064106|0.895613153183537|-2.04724136700782
209|"intra"|2015|"Philippines"|0|0|0|3|"Rebels"|-0.418247243865933|0.767315102628539|0.901148369826385|-2.03908090280492
218|"inter"|1989|"India"|0|NA|0|1|"India"|-0.375776691952678|0.793802319471459|1.04601027814883|-2.02026163745182
218|"inter"|1990|"India"|0|NA|0|1|"India"|-0.359961149755321|0.794051341851178|1.01573218532346|-2.08015535363041
218|"inter"|1991|"India"|0|0|0|1|"India"|-0.410940578690054|0.771850568324673|0.895820295436881|-2.09597028558005
218|"inter"|1992|"India"|0|0|0|1|"India"|-0.422051836808595|0.776461130124647|0.916712546854458|-2.05654635087468
218|"inter"|1996|"India"|0|0|0|1|"India"|-0.423600169395114|0.782121586632092|0.898757259166825|-2.06619980230765
218|"inter"|1997|"India"|0|0|0|1|"India"|-0.412949948171131|0.747445657387923|0.896276694680608|-2.06606724764157
218|"inter"|1998|"India"|0|0|0|1|"India"|-0.420293868833114|0.776073409918141|0.921158141904787|-2.08105096161146
218|"inter"|1999|"India"|0|0|0|1|"India"|-0.415354830651256|0.784177652793681|0.922372159254129|-2.12014100480556
218|"inter"|2000|"India"|0|0|0|1|"India"|-0.422096886109757|0.797374658788335|0.935457421833541|-2.1291866692294
218|"inter"|2001|"India"|0|0|0|1|"India"|-0.415618609034037|0.768131692622538|0.911480171161437|-2.10802546842484
218|"inter"|2002|"India"|0|0|0|1|"India"|-0.414329465768756|0.773772531741568|0.934363624888654|-2.10927952787012
218|"inter"|2003|"India"|0|NA|0|1|"India"|-0.396282668926125|0.821027924534672|1.03491927948996|-2.20240043052288
218|"inter"|2014|"India"|0|0|0|1|"India"|-0.419508925971823|0.768653921270171|0.909815659292883|-2.0486435834142
218|"inter"|2015|"India"|0|0|0|1|"India"|-0.409928244479767|0.784161311526137|0.916667614919749|-2.11282640662551
218|"inter"|1989|"India"|0|NA|0|1|"Pakistan"|-0.381995062563056|0.829533098849411|1.06440487798665|-2.09043268525687
218|"inter"|1990|"India"|0|NA|0|1|"Pakistan"|-0.381388971472045|0.802206318800237|1.0166041946664|-2.12006930032642
218|"inter"|1991|"India"|0|0|0|1|"Pakistan"|-0.420225571739629|0.775901352220165|0.928748551713224|-2.13433989663014
218|"inter"|1992|"India"|0|0|0|1|"Pakistan"|-0.4281735984025|0.776636217600038|0.954152091480094|-2.10535072471044
218|"inter"|1996|"India"|0|0|0|1|"Pakistan"|-0.427781632391434|0.79983264677808|0.94528231630629|-2.17210191412809
218|"inter"|1997|"India"|0|0|0|1|"Pakistan"|-0.410543752963226|0.76207505316769|0.925559888541946|-2.04661999252029
218|"inter"|1998|"India"|0|0|0|1|"Pakistan"|-0.411307414116033|0.773519650836734|0.920333832032801|-2.05214339299363
218|"inter"|1999|"India"|0|0|0|1|"Pakistan"|-0.433460959010999|0.782693461081365|0.898232513646044|-2.15007257426189
218|"inter"|2000|"India"|0|0|0|1|"Pakistan"|-0.402067802773076|0.76245831556458|0.923514600681902|-2.01051365028771
218|"inter"|2001|"India"|0|0|0|1|"Pakistan"|-0.421651138839473|0.786936457937642|0.929977158317166|-2.11590686859728
218|"inter"|2002|"India"|0|0|0|1|"Pakistan"|-0.419186018421086|0.781863282949119|0.939652745227764|-2.09732084559965
218|"inter"|2003|"India"|0|NA|0|1|"Pakistan"|-0.357386418332773|0.791755512652621|1.0171687354958|-2.03256472008985
218|"inter"|2014|"India"|0|0|0|1|"Pakistan"|-0.421739613941774|0.776533461309928|0.91734054450994|-2.08418742697927
218|"inter"|2015|"India"|0|0|0|1|"Pakistan"|-0.416213574084288|0.79861662618779|0.959904381068968|-2.12167530803267
220|"intra"|1989|"Paraguay"|0|NA|0|1|"Government"|-0.368097719835484|0.796658915138755|1.04760199174045|-2.01240033284347
220|"intra"|1989|"Paraguay"|0|NA|0|3|"Rebels"|-0.380683194673132|0.805323766170056|1.0402675316809|-2.07268586682775
221|"intra"|1989|"Myanmar"|0|0|0|1|"Government"|-0.408089640600974|0.789087551537557|0.903044347613698|-2.08824499953662
221|"intra"|1990|"Myanmar"|0|0|0|1|"Government"|-0.426089507075525|0.808549028529679|0.966596934489558|-2.18142428092115
221|"intra"|1991|"Myanmar"|0|0|0|1|"Government"|-0.423754312555411|0.779079713734186|0.919359378283145|-2.15440349337395
221|"intra"|1992|"Myanmar"|1|0|0|1|"Government"|0.659991338469667|0.529832228685986|1.58702762873366|-0.47374391366922
221|"intra"|1995|"Myanmar"|0|0|0|1|"Government"|-0.412464680847765|0.796551315554439|0.936363421387433|-2.10526102926495
221|"intra"|1997|"Myanmar"|0|0|0|1|"Government"|-0.407937840057315|0.768330119645151|0.90305169191716|-2.0891360281207
221|"intra"|1998|"Myanmar"|1|0|1|1|"Government"|1.06791433032308|0.40541612027675|1.84285476270326|0.204021164433246
